index,account_name,date,amount,currency,message,tx_type,vs,ss
0,,2024-05-27,-0.25,EUR,Poplatok za platbu kartou,Poplatok za kartovú transakciu,,
1,,2024-05-27,-5000.0,EUR,"B1816215979-44544 17** **** 6401;GOOGLE *ADS2821367403 ,G.CO/HELPPAY# ,IE ;27.05.2024 03:03:35 ;CashBack:0 EUR",Platba kartou,,
2,,2024-05-27,-0.25,EUR,Poplatok za platbu kartou,Poplatok za kartovú transakciu,,
3,,2024-05-27,-800.0,EUR,"B1815820169-44544 17** **** 6401;FACEBK* ,fb.me/ads ,IE ;26.05.2024 19:56:53 ;CashBack:0 EUR",Platba kartou,,
4,,2024-05-26,-0.25,EUR,Poplatok za platbu kartou,Poplatok za kartovú transakciu,,
5,,2024-05-26,-800.0,EUR,"B1815093966-44544 17** **** 6401;FACEBK* ,fb.me/ads ,IE ;25.05.2024 23:25:40 ;CashBack:0 EUR",Platba kartou,,
6,,2024-05-26,-0.25,EUR,Poplatok za platbu kartou,Poplatok za kartovú transakciu,,
7,,2024-05-26,-800.0,EUR,"B1815089609-44544 17** **** 6401;FACEBK *NNT2E58CE2 ,fb.me/ads ,IE ;25.05.2024 21:22:54 ;CashBack:0 EUR",Platba kartou,,
8,,2024-05-26,-0.25,EUR,Poplatok za platbu kartou,Poplatok za kartovú transakciu,,
9,,2024-05-26,-798.74,EUR,"B1814916370-44544 17** **** 6401;FACEBK* ,fb.me/ads ,IE ;25.05.2024 07:57:37 ;CashBack:0 EUR",Platba kartou,,
10,,2024-05-25,-0.25,EUR,Poplatok za platbu kartou,Poplatok za kartovú transakciu,,
11,,2024-05-25,-800.0,EUR,"B1814092789-44544 17** **** 6401;FACEBK* ,fb.me/ads ,IE ;24.05.2024 17:45:52 ;CashBack:0 EUR",Platba kartou,,
12,,2024-05-25,-0.25,EUR,Poplatok za platbu kartou,Poplatok za kartovú transakciu,,
13,,2024-05-25,-800.0,EUR,"B1814015527-44544 17** **** 6401;FACEBK *HGQ8H54DE2 ,fb.me/ads ,IE ;24.05.2024 10:46:35 ;CashBack:0 EUR",Platba kartou,,
14,,2024-05-24,-0.25,EUR,Poplatok za platbu kartou,Poplatok za kartovú transakciu,,
15,,2024-05-24,-800.0,EUR,"B1813324067-44544 17** **** 6401;FACEBK* ,fb.me/ads ,IE ;23.05.2024 23:05:12 ;CashBack:0 EUR",Platba kartou,,
16,,2024-05-24,-0.25,EUR,Poplatok za platbu kartou,Poplatok za kartovú transakciu,,
17,,2024-05-24,-800.0,EUR,"B1813259072-44544 17** **** 6401;FACEBK* ,fb.me/ads ,IE ;23.05.2024 12:02:18 ;CashBack:0 EUR",Platba kartou,,
18,,2024-05-23,-0.25,EUR,Poplatok za platbu kartou,Poplatok za kartovú transakciu,,
19,,2024-05-23,-800.0,EUR,"B1812259018-44544 17** **** 6401;FACEBK* ,fb.me/ads ,IE ;22.05.2024 17:20:06 ;CashBack:0 EUR",Platba kartou,,
20,,2024-05-23,-0.25,EUR,Poplatok za platbu kartou,Poplatok za kartovú transakciu,,
21,,2024-05-23,-800.0,EUR,"B1811576873-44544 17** **** 6401;FACEBK* ,fb.me/ads ,IE ;21.05.2024 21:33:01 ;CashBack:0 EUR",Platba kartou,,
22,,2024-05-20,-0.25,EUR,Poplatok za platbu kartou,Poplatok za kartovú transakciu,,
23,,2024-05-20,-493.89,EUR,"B1809940904-44544 17** **** 6401;FACEBK* ,fb.me/ads ,IE ;19.05.2024 07:27:32 ;CashBack:0 EUR",Platba kartou,,
24,,2024-05-17,-0.25,EUR,Poplatok za platbu kartou,Poplatok za kartovú transakciu,,
