index,account_name,date,amount,currency,message,tx_type,vs,ss
0,MISTRO vyroba reklamy,2024-06-18,-896.4,EUR,Platba faktury 24020104,Okamžitá platba (EB),24020104.0,
1,Strana,2024-06-18,286.19,EUR,F001180620247178716,Bezhotovostný vklad,,
2,ASEMID TN,2024-06-17,-422.23,EUR,0240617084342.669211,Okamžitá platba (EB),1020240078.0,
3,HMCC S.R.O.,2024-06-07,1000.0,EUR,Dobropis,Bezhotovostný vklad - okamžitá platba,24003.0,
4,MP,2024-06-02,-200.0,EUR,0240602102323.205344,Okamžitá platba (EB),2024002.0,
5,,2024-05-31,-5.0,EUR,Zverejňovanie účtu,Poplatok,,
6,,2024-05-31,-5.0,EUR,Poplatok za vedenie účtu,Poplatok,,
7,01GO,2024-05-31,-537.5,EUR,0240531122943.450538,Okamžitá platba (EB),2024007.0,
8,Strana,2024-05-31,500.0,EUR,F001310520249549665,Bezhotovostný vklad,,
9,Petit Press,2024-05-28,-780.0,EUR,0240528143451.336168,Okamžitá platba (EB),2433101135.0,
10,Strana,2024-05-28,500.0,EUR,F001280520247579469,Bezhotovostný vklad,,
11,HMCC S.R.O.,2024-05-28,200.0,EUR,Dobropis,Bezhotovostný vklad - okamžitá platba,24003.0,
12,PATRIOT GROUP,2024-05-23,-504.0,EUR,,Platobný príkaz na úhradu / FIT 2.0 (EB),20240490.0,
13,Fibra print,2024-05-15,-234.0,EUR,,Okamžitá platba (EB),2400353.0,
14,Fibra print,2024-05-10,-693.6,EUR,0240510135911.773786,Okamžitá platba (EB),2400349.0,
15,REMOS spol. s r.o.,2024-05-06,-311.52,EUR,QR2324055937,Platobný príkaz na úhradu / FIT 2.0 (EB),2324055937.0,
16,,2024-04-30,-5.0,EUR,Poplatok za vedenie účtu,Poplatok,,
17,,2024-04-30,-5.0,EUR,Zverejňovanie účtu,Poplatok,,
18,Lukas Hunar_system okrskari,2024-04-29,-150.0,EUR,Úhrada faktúry: 20240004,Platobný príkaz na úhradu / FIT 2.0 (EB),20240004.0,
19,HMCC,2024-04-19,-2880.0,EUR,0240419064326.680255,Okamžitá platba (EB),24002.0,
20,Strana,2024-04-19,5000.0,EUR,F001190420245059387,Bezhotovostný vklad,,
21,ZSTV Media,2024-04-17,-210.0,EUR,ZSTV Média,Okamžitá platba (EB),2024005.0,
22,,2024-03-31,-5.0,EUR,Zverejňovanie účtu,Poplatok,,
23,,2024-03-31,-1.94,EUR,Poplatok za vedenie účtu,Poplatok,,
24,MP Enterprises,2024-03-27,-1210.0,EUR,,Platobný príkaz na úhradu / FIT 2.0 (EB),2024001.0,
25,NOTPROVIDED,2024-03-25,-420.0,EUR,ZSTV Média,Platobný príkaz na úhradu / FIT 2.0 (OM),2024004.0,
26,Strana,2024-03-25,2000.0,EUR,F001250320244102608,Bezhotovostný vklad,,
