index,account_name,date,amount,currency,message,tx_type,vs,ss
0,,2024-04-28,-0.25,EUR,Poplatok za platbu kartou,Poplatok za kartovú transakciu,,
1,,2024-04-28,-12.0,EUR,"B1792094230-44544 17** **** 4298;FACEBK *QWE7TY3B92 ,fb.me/ads ,IE ;27.04.2024 12:57:26 ;CashBack:0 EUR",Platba kartou,,
2,,2024-04-28,-0.25,EUR,Poplatok za platbu kartou,Poplatok za kartovú transakciu,,
3,,2024-04-28,-600.0,EUR,"B1791998249-44544 17** **** 4298;FACEBK* ,fb.me/ads ,IE ;27.04.2024 17:48:19 ;CashBack:0 EUR",Platba kartou,,
4,,2024-04-28,-0.25,EUR,Poplatok za platbu kartou,Poplatok za kartovú transakciu,,
5,,2024-04-28,-10.0,EUR,"B1791986620-44544 17** **** 4298;FACEBK* ,fb.me/ads ,IE ;27.04.2024 08:43:20 ;CashBack:0 EUR",Platba kartou,,
6,,2024-04-28,-0.25,EUR,Poplatok za platbu kartou,Poplatok za kartovú transakciu,,
7,,2024-04-28,-9.0,EUR,"B1791347913-44544 17** **** 4298;FACEBK* ,fb.me/ads ,IE ;26.04.2024 23:07:24 ;CashBack:0 EUR",Platba kartou,,
8,,2024-04-28,-2.0,EUR,"B1791238747-44544 17** **** 4298;FACEBK* ,fb.me/ads ,IE ;26.04.2024 11:29:37 ;CashBack:0 EUR",Platba kartou,,
9,,2024-04-28,-0.25,EUR,Poplatok za platbu kartou,Poplatok za kartovú transakciu,,
10,,2024-04-28,-0.25,EUR,Poplatok za platbu kartou,Poplatok za kartovú transakciu,,
11,,2024-04-28,-2.0,EUR,"B1791244955-44544 17** **** 4298;FACEBK* ,fb.me/ads ,IE ;26.04.2024 09:29:26 ;CashBack:0 EUR",Platba kartou,,
12,,2024-04-28,-0.25,EUR,Poplatok za platbu kartou,Poplatok za kartovú transakciu,,
13,,2024-04-28,-2.0,EUR,"B1791244732-44544 17** **** 4298;FACEBK* ,fb.me/ads ,IE ;26.04.2024 07:38:04 ;CashBack:0 EUR",Platba kartou,,
14,,2024-04-28,-8.0,EUR,"B1791232716-44544 17** **** 4298;FACEBK *3M3NFZTA92 ,fb.me/ads ,IE ;26.04.2024 21:15:26 ;CashBack:0 EUR",Platba kartou,,
15,,2024-04-28,-0.25,EUR,Poplatok za platbu kartou,Poplatok za kartovú transakciu,,
16,,2024-04-28,-2.0,EUR,"B1791237765-44544 17** **** 4298;FACEBK* ,fb.me/ads ,IE ;26.04.2024 07:07:44 ;CashBack:0 EUR",Platba kartou,,
17,,2024-04-28,-0.25,EUR,Poplatok za platbu kartou,Poplatok za kartovú transakciu,,
18,,2024-04-28,-6.0,EUR,"B1791232526-44544 17** **** 4298;FACEBK *KQU7SY3B92 ,fb.me/ads ,IE ;26.04.2024 18:01:39 ;CashBack:0 EUR",Platba kartou,,
19,,2024-04-28,-0.25,EUR,Poplatok za platbu kartou,Poplatok za kartovú transakciu,,
20,,2024-04-28,-2.0,EUR,"B1791238529-44544 17** **** 4298;FACEBK* ,fb.me/ads ,IE ;26.04.2024 10:13:18 ;CashBack:0 EUR",Platba kartou,,
21,,2024-04-28,-0.25,EUR,Poplatok za platbu kartou,Poplatok za kartovú transakciu,,
22,,2024-04-28,-0.25,EUR,Poplatok za platbu kartou,Poplatok za kartovú transakciu,,
23,,2024-04-28,-4.0,EUR,"B1791178470-44544 17** **** 4298;FACEBK* ,fb.me/ads ,IE ;26.04.2024 14:41:36 ;CashBack:0 EUR",Platba kartou,,
24,,2024-04-28,-0.25,EUR,Poplatok za platbu kartou,Poplatok za kartovú transakciu,,
