index,account_name,date,amount,currency,message,tx_type,vs,ss
0,AGENTURA SMER,2024-03-19,-90000.0,EUR,Zalohova fa c.14-propagacia a organiz.-tech.zabezpecenie MDZ 2024,Platobný príkaz na úhradu / FIT 2.0 (EB),,
1,,2024-03-18,-0.25,EUR,Poplatok za platbu kartou,Poplatok za kartovú transakciu,,
2,,2024-03-18,-750.0,EUR,"B1759825507-44544 17** **** 0646;FACEBK THP7NZK8S2 ,fb.me/ads ,IE ;17.03.2024 14:36:33 ;CashBack:0 EUR",Platba kartou,,
3,,2024-03-17,-0.25,EUR,Poplatok za platbu kartou,Poplatok za kartovú transakciu,,
4,,2024-03-17,-750.0,EUR,"B1758948552-44544 17** **** 0646;FACEBK L97QB2C8S2 ,fb.me/ads ,IE ;16.03.2024 09:09:51 ;CashBack:0 EUR",Platba kartou,,
5,,2024-03-16,-0.25,EUR,Poplatok za platbu kartou,Poplatok za kartovú transakciu,,
6,,2024-03-16,-750.0,EUR,"B1758046982-44544 17** **** 0646;FACEBK BDWAJZ38S2 ,fb.me/ads ,IE ;15.03.2024 06:26:10 ;CashBack:0 EUR",Platba kartou,,
7,,2024-03-15,-750.0,EUR,"B1757075434-44544 17** **** 0646;FACEBK 93ETMZX8S2 ,fb.me/ads ,IE ;14.03.2024 06:41:53 ;CashBack:0 EUR",Platba kartou,,
8,,2024-03-15,-0.25,EUR,Poplatok za platbu kartou,Poplatok za kartovú transakciu,,
9,,2024-03-13,-0.25,EUR,Poplatok za platbu kartou,Poplatok za kartovú transakciu,,
10,,2024-03-13,-750.0,EUR,"B1756019900-44544 17** **** 0646;FACEBK TAPC5288S2 ,fb.me/ads ,IE ;13.03.2024 05:23:49 ;CashBack:0 EUR",Platba kartou,,
11,,2024-03-11,-0.25,EUR,Poplatok za platbu kartou,Poplatok za kartovú transakciu,,
12,,2024-03-11,-750.0,EUR,"B1754382874-44544 17** **** 0646;FACEBK EYDRDZ38S2 ,fb.me/ads ,IE ;11.03.2024 05:54:57 ;CashBack:0 EUR",Platba kartou,,
13,,2024-03-10,-0.25,EUR,Poplatok za platbu kartou,Poplatok za kartovú transakciu,,
14,,2024-03-10,-750.0,EUR,"B1753203954-44544 17** **** 0646;FACEBK 845LM2Q8S2 ,fb.me/ads ,IE ;09.03.2024 17:55:26 ;CashBack:0 EUR",Platba kartou,,
15,,2024-03-10,-750.0,EUR,"B1752320116-44544 17** **** 0646;FACEBK KXCLYZ78S2 ,fb.me/ads ,IE ;08.03.2024 20:41:00 ;CashBack:0 EUR",Platba kartou,,
16,,2024-03-10,-0.25,EUR,Poplatok za platbu kartou,Poplatok za kartovú transakciu,,
17,,2024-03-08,-0.25,EUR,Poplatok za platbu kartou,Poplatok za kartovú transakciu,,
18,,2024-03-08,-750.0,EUR,"B1751448939-44544 17** **** 0646;FACEBK RZ2ER249S2 ,fb.me/ads ,IE ;07.03.2024 23:28:32 ;CashBack:0 EUR",Platba kartou,,
19,,2024-03-08,-0.25,EUR,Poplatok za platbu kartou,Poplatok za kartovú transakciu,,
20,,2024-03-08,-750.0,EUR,"B1751433174-44544 17** **** 0646;FACEBK F894EZX8S2 ,fb.me/ads ,IE ;07.03.2024 06:43:05 ;CashBack:0 EUR",Platba kartou,,
21,Harcar Stefan - STEEVEPRESS,2024-03-08,-108.0,EUR,FD-267-letaky,Platobný príkaz na úhradu / FIT 2.0 (EB),20240213.0,
22,MESTSKE KULTURNE STR,2024-03-08,-700.0,EUR,FD-268-prenajom priestorov,Platobný príkaz na úhradu / FIT 2.0 (EB),1113400017.0,
23,,2024-03-07,-0.25,EUR,Poplatok za platbu kartou,Poplatok za kartovú transakciu,,
24,,2024-03-07,-750.0,EUR,"B1750616300-44544 17** **** 0646;FACEBK M5QMBZF8S2 ,fb.me/ads ,IE ;06.03.2024 06:49:00 ;CashBack:0 EUR",Platba kartou,,
25,,2024-03-05,-0.25,EUR,Poplatok za platbu kartou,Poplatok za kartovú transakciu,,
26,,2024-03-05,-750.0,EUR,"B1749015879-44544 17** **** 0646;FACEBK 9SFR7ZK8S2 ,fb.me/ads ,IE ;04.03.2024 18:28:13 ;CashBack:0 EUR",Platba kartou,,
27,Financna sprava Bratislava,2024-03-05,-2316.54,EUR,DPH-2/2024,Platobný príkaz na úhradu / FIT 2.0 (EB),1100022024.0,202402.0
28,,2024-03-04,-0.25,EUR,Poplatok za platbu kartou,Poplatok za kartovú transakciu,,
29,,2024-03-04,-750.0,EUR,"B1748536167-44544 17** **** 0646;FACEBK NTEU9ZX8S2 ,fb.me/ads ,IE ;03.03.2024 15:14:32 ;CashBack:0 EUR",Platba kartou,,
30,,2024-03-04,-8.0,EUR,Poplatok za výber hotovosti,Poplatok,,
31,,2024-03-04,-3000.0,EUR,výber hotovosti do pokladne,Výber hotovosti,,
32,,2024-03-03,-0.25,EUR,Poplatok za platbu kartou,Poplatok za kartovú transakciu,,
33,,2024-03-03,-750.0,EUR,"B1747771050-44544 17** **** 0646;FACEBK *HJNUJ249S2 ,fb.me/ads ,IE ;02.03.2024 09:05:16 ;CashBack:0 EUR",Platba kartou,,
34,,2024-03-02,-0.25,EUR,Poplatok za platbu kartou,Poplatok za kartovú transakciu,,
35,,2024-03-02,-750.0,EUR,"B1746935214-44544 17** **** 0646;FACEBK UUHP3ZK8S2 ,fb.me/ads ,IE ;01.03.2024 07:44:27 ;CashBack:0 EUR",Platba kartou,,
36,,2024-03-01,-0.25,EUR,Poplatok za platbu kartou,Poplatok za kartovú transakciu,,
37,,2024-03-01,-332.68,EUR,"B1746187219-44544 17** **** 0646;FACEBK END4C3U8S2 ,fb.me/ads ,IE ;29.02.2024 15:40:37 ;CashBack:0 EUR",Platba kartou,,
38,,2024-02-29,-5.0,EUR,Zverejňovanie účtu,Poplatok,,
39,,2024-02-29,-5.0,EUR,Poplatok za vedenie účtu,Poplatok,,
40,,2024-02-29,-0.25,EUR,Poplatok za platbu kartou,Poplatok za kartovú transakciu,,
41,,2024-02-29,-750.0,EUR,"B1745428751-44544 17** **** 0646;FACEBK 5RRJYY38S2 ,fb.me/ads ,IE ;28.02.2024 21:14:43 ;CashBack:0 EUR",Platba kartou,,
42,,2024-02-29,-0.25,EUR,Poplatok za platbu kartou,Poplatok za kartovú transakciu,,
43,,2024-02-29,-750.0,EUR,"B1745248866-44544 17** **** 0646;FACEBK *SF5H4ZX8S2 ,fb.me/ads ,IE ;28.02.2024 04:49:54 ;CashBack:0 EUR",Platba kartou,,
44,,2024-02-29,-2.9,EUR,"Vedenie Platobnej karty embosovanej,2315,5,Karta č. 4544 17** **** 0646Poplatok za Platobnú kartu",Kartový poplatok,,
45,,2024-02-28,-0.25,EUR,Poplatok za platbu kartou,Poplatok za kartovú transakciu,,
46,,2024-02-28,-750.0,EUR,"B1744515924-44544 17** **** 0646;FACEBK HUFYNZB8S2 ,fb.me/ads ,IE ;27.02.2024 10:19:47 ;CashBack:0 EUR",Platba kartou,,
47,MESTO SABINOV,2024-02-28,-38.25,EUR,FD-215-dan za uzivanie verejneho priestranstva,Platobný príkaz na úhradu / FIT 2.0 (EB),2825400171.0,
48,,2024-02-27,-0.25,EUR,Poplatok za platbu kartou,Poplatok za kartovú transakciu,,
49,,2024-02-27,-750.0,EUR,"B1743789690-44544 17** **** 0646;FACEBK 258SVY38S2 ,fb.me/ads ,IE ;26.02.2024 15:54:48 ;CashBack:0 EUR",Platba kartou,,
50,,2024-02-26,-0.25,EUR,Poplatok za platbu kartou,Poplatok za kartovú transakciu,,
51,,2024-02-26,-750.0,EUR,"B1743286910-44544 17** **** 0646;FACEBK JZ6PUY38S2 ,fb.me/ads ,IE ;25.02.2024 18:41:54 ;CashBack:0 EUR",Platba kartou,,
52,AGENTURA SMER,2024-02-26,-160000.0,EUR,Zal.fa c.11-propagacia a organiz.-tech. zabezpecenie MDZ 2024,Platobný príkaz na úhradu / FIT 2.0 (EB),240800001.0,
53,AGENTURA SMER,2024-02-26,-140000.0,EUR,Zal.fa c.11-propagacia a organiz.-tech.zabezpecenie MDZ 2024,Platobný príkaz na úhradu / FIT 2.0 (EB),240800001.0,
54,,2024-02-25,-0.25,EUR,Poplatok za platbu kartou,Poplatok za kartovú transakciu,,
55,,2024-02-25,-750.0,EUR,"B1742602006-44544 17** **** 0646;FACEBK 8S4YGZ78S2 ,fb.me/ads ,IE ;24.02.2024 20:01:28 ;CashBack:0 EUR",Platba kartou,,
56,,2024-02-25,-0.25,EUR,Poplatok za platbu kartou,Poplatok za kartovú transakciu,,
57,,2024-02-25,-750.0,EUR,"B1741709219-44544 17** **** 0646;FACEBK 4CE69249S2 ,fb.me/ads ,IE ;23.02.2024 15:29:54 ;CashBack:0 EUR",Platba kartou,,
58,,2024-02-24,-0.25,EUR,Poplatok za platbu kartou,Poplatok za kartovú transakciu,,
59,,2024-02-24,-750.0,EUR,"B1740834908-44544 17** **** 0646;FACEBK KHQ622Q8S2 ,fb.me/ads ,IE ;22.02.2024 13:36:48 ;CashBack:0 EUR",Platba kartou,,
60,,2024-02-22,-0.25,EUR,Poplatok za platbu kartou,Poplatok za kartovú transakciu,,
61,,2024-02-22,-750.0,EUR,"B1740055724-44544 17** **** 0646;FACEBK FMPRZ2U8S2 ,fb.me/ads ,IE ;21.02.2024 06:23:45 ;CashBack:0 EUR",Platba kartou,,
